id,Opened,Closed,Status,ResponsibleAgency,Address,Category,RequestType,Request Details,Source,Supervisor District,Neighborhood,Updated,Point,x,y
2551640,6/30/13,7/2/13,Closed,DPW Ops Queue,"536 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 6:21,"[37.781409874, -122.419523593]",-122.4195236,37.78140987
2550510,6/30/13,7/13/13,Closed,DPW Ops Queue,"3961 24TH ST, SAN FRANCISCO, CA, 94114",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,8,Noe Valley,7/12/09 0:19,"[37.751237778, -122.430952914]",-122.4309529,37.75123778
2550421,6/30/13,7/3/13,Closed,DPW Ops Queue,Intersection of 8TH ST and BRYANT ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,South of Market,7/2/09 20:18,"[37.7725262934322, -122.40696819275]",-122.4069682,37.77252629
2550245,6/30/13,7/3/13,Closed,DPW Ops Queue,"601 TOWNSEND ST, SAN FRANCISCO, CA, 94107",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,10,South of Market,7/2/09 12:19,"[37.771124834, -122.401662928]",-122.4016629,37.77112483
2550016,6/30/13,7/3/13,Closed,DPW Ops Queue,"150 TOPEKA AVE, SAN FRANCISCO, CA, 94124",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,10,Bayview,7/2/09 6:21,"[37.733520567774, -122.398443996379]",-122.398444,37.73352057
2549865,6/30/13,7/13/13,Closed,DPW Ops Queue,Intersection of CHURCH ST and DUBOCE AVE,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,8,Western Addition,7/12/09 0:20,"[37.7694561645459, -122.429128105966]",-122.4291281,37.76945616
2549774,6/30/13,7/2/13,Closed,DPW Ops Queue,Intersection of 20TH ST and SANCHEZ ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,8,Castro/Upper Market,7/1/09 23:17,"[37.7579545148891, -122.430268405389]",-122.4302684,37.75795451
2549479,6/30/13,8/13/13,Closed,DPW Ops Queue,Intersection of SANSOME ST and SUTTER ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,3,Financial District,8/12/09 10:09,"[37.7902473876777, -122.400555212485]",-122.4005552,37.79024739
2548365,6/29/13,7/3/13,Closed,DPW Ops Queue,"444 HYDE ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 20:19,"[37.784876654745, -122.416088375863]",-122.4160884,37.78487665
2548362,6/29/13,7/3/13,Closed,DPW Ops Queue,"631 O'FARRELL ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 20:19,"[37.785240365, -122.415119641]",-122.4151196,37.78524037
2548359,6/29/13,7/3/13,Closed,DPW Ops Queue,"344 ELLIS ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 20:19,"[37.785034639912, -122.411893125597]",-122.4118931,37.78503464
2548352,6/29/13,7/3/13,Closed,DPW Ops Queue,"111 TAYLOR ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 20:18,"[37.78332230982, -122.410856686778]",-122.4108567,37.78332231
2547429,6/29/13,7/3/13,Closed,DPW Ops Queue,"455 HYDE ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 20:19,"[37.784948132113, -122.416243064446]",-122.4162431,37.78494813
2547426,6/29/13,7/3/13,Closed,DPW Ops Queue,"421 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 20:19,"[37.784853700397, -122.41454001881]",-122.41454,37.7848537
2547423,6/29/13,7/3/13,Closed,DPW Ops Queue,"78 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 20:19,"[37.781461191772, -122.413714253065]",-122.4137143,37.78146119
2547417,6/29/13,6/30/13,Closed,DPW Ops Queue,"370 ELLIS ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,6/29/09 19:22,"[37.784982679317, -122.412302702002]",-122.4123027,37.78498268
2545553,6/28/13,7/3/13,Closed,DPW Ops Queue,"520 4TH ST, SAN FRANCISCO, CA, 94107",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,South of Market,7/2/09 20:17,"[37.779090893, -122.397876534]",-122.3978765,37.77909089
2544700,6/28/13,7/3/13,Closed,311 Supervisor Queue,Intersection of ALEMANY BLVD and WORCESTER AVE,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,7,Ocean View,7/2/09 12:14,"[37.7114949732081, -122.467027358053]",-122.4670274,37.71149497
2544266,6/28/13,7/3/13,Closed,DPW Ops Queue,"1200 TAYLOR ST, SAN FRANCISCO, CA, 94108",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,3,Nob Hill,7/2/09 12:18,"[37.793467835733, -122.412766352494]",-122.4127664,37.79346784
2544257,6/28/13,7/3/13,Closed,DPW Ops Queue,"1200 TAYLOR ST, SAN FRANCISCO, CA, 94108",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,3,Nob Hill,7/2/09 12:19,"[37.793467835733, -122.412766352494]",-122.4127664,37.79346784
2544250,6/28/13,7/3/13,Closed,DPW Ops Queue,"Tenderloin Recreation Center,  570 ELLIS ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 20:17,"[37.784820978, -122.415403]",-122.415403,37.78482098
2544241,6/28/13,7/3/13,Closed,DPW Ops Queue,"440 ELLIS ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 10:18,"[37.784825498252, -122.413473098043]",-122.4134731,37.7848255
2544057,6/28/13,7/3/13,Closed,DPW Ops Queue,Intersection of NATOMA ST and RUSS ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,South of Market,7/2/09 12:18,"[37.779293459, -122.408809398]",-122.4088094,37.77929346
2543924,6/28/13,7/3/13,Closed,DPW Ops Queue,"900 BUSH ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,3,Nob Hill,7/2/09 20:17,"[37.789787807759, -122.412136417519]",-122.4121364,37.78978781
2542837,6/28/13,7/3/13,Closed,DPW Ops Queue,Intersection of ADA CT and OFARRELL ST,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 12:19,"[37.7854497254799, -122.415673981011]",-122.415674,37.78544973
2542761,6/28/13,7/2/13,Closed,DPW Ops Queue,"420 CASTRO ST, SAN FRANCISCO, CA, 94114",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,8,Castro/Upper Market,7/1/09 9:21,"[37.762055796, -122.435387947]",-122.4353879,37.7620558
2542751,6/28/13,7/3/13,Closed,DPW Ops Queue,Intersection of DODGE ST and TURK ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Twitter,6,Downtown/Civic Center,7/2/09 12:20,"[37.7824203080071, -122.416983014922]",-122.416983,37.78242031
2542720,6/28/13,7/2/13,Closed,DPW Ops Queue,Intersection of LEAVENWORTH ST and TURK ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:18,"[37.7827945054955, -122.414053905579]",-122.4140539,37.78279451
