"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","29-MAY-15","29-MAY-15","17:03:00Z","REDDING","California","","AIRCRAFT ON FINAL STRUCK A BIRD, LANDED WITHOUT INCIDENT, REDDING, CA","Incident","FAA Sacramento FSDO-25","N9623B","BXR400","REDDING JET CENTER","CESSNA","208","","Minor","Other","APPROACH (APR)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","29-MAY-15","28-MAY-15","16:40:00Z","ASHEVILLE","North Carolina","","AIRCRAFT ON LANDING, STRUCK A TAXIWAY LIGHT, ASHEVILLE, NC","Incident","FAA Charlotte FSDO-68","N850BX","","","SOCATA","TBM700","","Unknown","","UNKNOWN (UNK)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","29-MAY-15","28-MAY-15","16:36:00Z","ROSEBURG","Oregon","","AIRCRAFT WENT OFF THE RUNWAY, ROSEBURG, OR","Incident","FAA Portland FSDO-09","N599RA","","","QUICKSILVER","GT500","","Unknown","","UNKNOWN (UNK)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","29-MAY-15","28-MAY-15","20:47:00Z","CAMARILLO","California","","AIRCRAFT ON LANDING GEAR COLLAPSED, CAMARILLO, CA","Incident","FAA Van Nuys FSDO-01","N5858P","","","BEECH","58","","Unknown","","LANDING (LDG)","","None","","3","","","","","","","","","","","","","","","","","","",""
"No","29-MAY-15","28-MAY-15","16:55:00Z","WILLISBURG","Kentucky","","AIRCRAFT FORCE LANDED ON A HIGHWAY, NEAR WILLISBURG, KY","Incident","FAA Louisville FSDO-17","N28314","","","GRUMMAN","AA5","","None","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","29-MAY-15","28-MAY-15","18:15:00Z","STATE COLLEGE","Pennsylvania","","AIRCRAFT ON LANDING, STRUCK THE PROP, UNIVERSITY PARK AIRPORT, STATE COLLEGE, PA","Incident","FAA Harrisburg FSDO-13","N2254U","","","CESSNA","172","","Minor","Instruction","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","29-MAY-15","28-MAY-15","00:00:00Z","GRAND JUNCTION","Colorado","","AIRCRAFT DURING FLIGHT STRUCK A CABLE, RETURNED AND LANDED WITHOUT INCIDENT, NEAR GRAND JUNCTION, CO","Accident","FAA Salt Lake City FSDO-07","N6175C","","","AERO VODOCHODY","L39","","Substantial","","UNKNOWN (UNK)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","29-MAY-15","28-MAY-15","18:49:00Z","LLANO","Texas","","AIRCRAFT ON DEPARTURE STRUCK TREES AND FORCE LANDED ONTO A HIGHWAY, NEAR LLANO, TX","Accident","FAA San Antonio FSDO-17","N224TB","","","BEECH","36","","Substantial","","UNKNOWN (UNK)","","Minor","","","1","","","","","","","","","","","","","","","","","",""
"No","28-MAY-15","27-MAY-15","17:00:00Z","MOOSE CREEK","Idaho","","AIRCRAFT ON LANDING, GEAR COLLAPSED AND GROUND LOOPED, MOOSE CREEK, ID","Incident","FAA Spokane FSDO-13","N6931K","","","PIPER","PA20","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","2","","","","","","","","",""
"No","28-MAY-15","27-MAY-15","21:31:00Z","CHINO","California","","AIRCRAFT LANDED GEAR UP, CHINO, CA","Incident","FAA Riverside FSDO-21","N6698F","","","BEECH","24","","Minor","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
